2024-06-11 18:53:02,555 Market Simulator listening for connections
2024-06-11 19:02:20,402 Connected by ('127.0.0.1', 56662)
2024-06-11 19:02:20,403 Received order: fill 1 red
2024-06-11 19:02:20,405 Sent fill message: fill 1 red
2024-06-11 19:02:20,409 Connected by ('127.0.0.1', 56664)
2024-06-11 19:02:20,409 Received order: fill 1 red
2024-06-11 19:02:20,414 Sent fill message: fill 1 red
2024-06-11 19:02:20,419 Connected by ('127.0.0.1', 56666)
2024-06-11 19:02:20,420 Received order: fill 1 red
2024-06-11 19:02:20,423 Sent fill message: fill 1 red
2024-06-11 19:02:20,427 Connected by ('127.0.0.1', 56668)
2024-06-11 19:02:20,427 Received order: fill 1 red
2024-06-11 19:02:20,430 Sent fill message: fill 1 red
2024-06-11 19:02:20,435 Connected by ('127.0.0.1', 56670)
2024-06-11 19:02:20,436 Received order: fill 1 red
2024-06-11 19:02:20,438 Sent fill message: fill 1 red
2024-06-11 19:02:20,443 Connected by ('127.0.0.1', 56672)
